# UiPathOrch Module API 情報追記チェック進捗ダッシュボード

## ═══════════════════════════════════════════════════════════════
## 📊 全体進捗サマリー
## ═══════════════════════════════════════════════════════════════
総ファイル数: 219
✅ Get-OrchBucket.md
✅ Get-OrchBucketItem.md
✅ Get-OrchCalendar.md
✅ Get-OrchClassicEnvironment.md
✅ Get-OrchClassicRobot.md
✅ Get-OrchConnectionString.md
✅ Get-OrchCredentialStore.md
✅ Get-OrchCurrentUser.md
✅ Get-OrchExecutionSetting.md
✅ Get-OrchFolderMachine.md
✅ Get-OrchFolderMachineAccountMapping.md
✅ Get-OrchFolderUsage.md
✅ Get-OrchFolderUser.md
✅ Get-OrchJob.md
✅ Get-OrchJobMedia.md
✅ Get-OrchJobStats.md
✅ Get-OrchJobVideo.md
✅ Get-OrchLibrary.md
✅ Get-OrchLibraryVersion.md
✅ Get-OrchLicense.md
✅ Get-OrchLicenseNamedUser.md
✅ Get-OrchLicenseRuntime.md
✅ Get-OrchLicenseStats.md
✅ Get-OrchLog.md
✅ Get-OrchMachine.md
✅ Get-OrchMachineClientSecretId.md
✅ Get-OrchMachineSession.md
✅ Get-OrchPackage.md
✅ Get-OrchPackageVersion.md
✅ Get-OrchPersonalWorkspace.md
✅ Get-OrchProcess.md
✅ Get-OrchQueue.md
✅ Get-OrchQueueItem.md
✅ Get-OrchRobot.md
✅ Get-OrchRole.md
✅ Get-OrchSetting.md
✅ Get-OrchTestCase.md
✅ Get-OrchTestCaseExecution.md
✅ Get-OrchTestDataQueue.md
✅ Get-OrchTestDataQueueItem.md
✅ Get-OrchTestDataQueueItemTable.md
✅ Get-OrchTestSet.md
✅ Get-OrchTestSetExecution.md
✅ Get-OrchTestSetSchedule.md
✅ Get-OrchTrigger.md
✅ Get-OrchUnattendedSession.md
✅ Get-OrchUpdateSetting.md
✅ Get-OrchUser.md
✅ Get-OrchUserPrivilege.md
✅ Get-OrchUserSession.md
✅ Get-OrchWebhook.md
✅ Get-OrchWebSetting.md
❌ Import-OrchLibrary.md
❌ Import-OrchPackage.md
❌ Import-OrchQueueItem.md
❌ Move-OrchFolderUser.md
❌ New-OrchBucket.md
❌ New-OrchMachine.md
❌ New-OrchProcess.md
❌ New-OrchQueue.md
❌ New-OrchTrigger.md
❌ Open-OrchJob.md
❌ Open-OrchLogLocation.md
❌ Redo-OrchQueueItem.md
✅ Remove-OrchActionCatalog.md
✅ Remove-OrchApiTrigger.md
✅ Remove-OrchAsset.md
✅ Remove-OrchBucket.md
✅ Remove-OrchCalendar.md
✅ Remove-OrchCalendarDate.md
✅ Remove-OrchCredentialStore.md
✅ Remove-OrchFolderMachine.md
✅ Remove-OrchFolderUser.md
✅ Remove-OrchJobMedia.md
❌ Remove-OrchLibrary.md
❌ Remove-OrchMachine.md
❌ Remove-OrchMachineClientSecret.md
❌ Remove-OrchPackage.md
❌ Remove-OrchPersonalWorkspace.md
❌ Remove-OrchProcess.md
❌ Remove-OrchQueue.md
❌ Remove-OrchQueueItem.md
❌ Remove-OrchRole.md
❌ Remove-OrchRoleFromFolderUser.md
❌ Remove-OrchRoleFromUser.md
❌ Remove-OrchTestCase.md
❌ Remove-OrchTestDataQueue.md
❌ Remove-OrchTestSet.md
❌ Remove-OrchTestSetSchedule.md
❌ Remove-OrchTrigger.md
❌ Remove-OrchUser.md
❌ Remove-OrchWebhook.md
❌ Reset-OrchProcessVersion.md
❌ Reset-OrchTestDataQueueItem.md
❌ Search-OrchDirectory.md
❌ Set-OrchAsset.md
❌ Set-OrchCredentialAsset.md
❌ Set-OrchLocation.md
❌ Set-OrchRole.md
❌ Start-OrchJob.md
❌ Start-OrchTestSet.md
❌ Stop-OrchJob.md
❌ Stop-OrchTestSetExecution.md
❌ UiPathOrch.md
❌ Update-OrchCurrentUserURPassword.md
❌ Update-OrchMachine.md
❌ Update-OrchProcess.md
❌ Update-OrchProcessVersion.md
❌ Update-OrchQueue.md
❌ Update-OrchTrigger.md
❌ Update-OrchUser.md

### 🔍 Du-*系 (Document Understanding)

❌ Add-DuUser.md
❌ Get-DuClassifier.md
❌ Get-DuDocumentType.md
❌ Get-DuExtractor.md
❌ Get-DuRole.md
❌ Get-DuUser.md
❌ Remove-DuRoleFromDuUser.md

### 🔍 Pm-*系 (Platform Management)

❌ Add-PmGroupMember.md
❌ Add-PmLicenseToPmLicensedGroup.md
❌ Copy-PmExternalApplication.md
❌ Copy-PmGroup.md
❌ Copy-PmRobotAccount.md
❌ Copy-PmUser.md
❌ Get-PmAuditLog.md
❌ Get-PmExternalApiResource.md
❌ Get-PmExternalApplication.md
❌ Get-PmGroup.md
❌ Get-PmGroupMember.md
❌ Get-PmLicensedGroup.md
❌ Get-PmLicensedUser.md
❌ Get-PmRobotAccount.md
❌ Get-PmUser.md
❌ Move-PmGroupMember.md
❌ New-PmGroup.md
❌ New-PmUser.md
❌ Remove-PmAllocationFromPmLicensedGroup.md
❌ Remove-PmExternalApplication.md
❌ Remove-PmGroup.md
❌ Remove-PmGroupMember.md
❌ Remove-PmLicensedGroup.md
❌ Remove-PmLicenseFromPmLicensedGroup.md
❌ Remove-PmRobotAccount.md
❌ Remove-PmUser.md
❌ Resolve-PmDirectoryNameBulk.md
❌ Search-PmDirectory.md
❌ Set-PmRobotAccount.md
❌ Update-PmUser.md

### 🔍 Tm-*系 (Test Manager)

❌ Get-TmConfiguration.md
❌ Get-TmProjectPermission.md
❌ Get-TmProjectSetting.md
❌ Get-TmRequirement.md
❌ Get-TmServerInfo.md
❌ Get-TmTestCase.md
❌ Get-TmTestSet.md
❌ Remove-TmRequirement.md
❌ Remove-TmTestCase.md
❌ Remove-TmTestSet.md
